ID,English,Spanish
IntroCred.Astrobard,ASTROBARD GAMES PRESENTS,ASTROBARD GAMES PRESENTA
IntroCred.GameBy,A GAME BY\nOSCAR 'KHAO' GACITUA,UN JUEGO DE\nOSCAR 'KHAO' GACITÚA
IntroCred.MusicBy,WITH MUSIC BY\nARIEL REYES,CON MÚSICA DE\nARIEL REYES
Common.Butt.Up,Up,Arriba
Common.Butt.Down,Down,Abajo
Common.Butt.Left,Left,Izquierda
Common.Butt.Right,Right,Derecha
Common.Butt.Light,Light Atk,Atq Ligero
Common.Butt.Medium,Medium Atk,Atq Medio
Common.Butt.Heavy,Heavy Atk,Atq Pesado
Common.Butt.Dash,Dash,Impulso
Menu.Option.Back,Back,Volver
Common.Gamepad,Gamepad,Mando
Common.Keyboard,Keyboard,Teclado
Menu.Title.PlayerNum,Player [NUM],Jugador [NUM]
Menu.Title.DeviceControls,[DEVICE] Controls,Controles de [DEVICE]
Menu.Title.LanguageSetting,Language Setting,Configuración de Lenguaje
Menu.Title.AudioOptions,Audio Options,Opciones de Audio
Menu.Press,Press,Presiona
Menu.Restart,Restart,Reiniciar
Menu.TrainingControls,Training Controls,Controles de Entrenamiento
Menu.Option.Versus,Versus,Versus
Menu.Option.Training,Training,Entrenamiento
Menu.Option.Options,Options,Opciones
Menu.Option.Exit,Exit,Salir
Menu.Option.Controls,Controls,Controles
Menu.Option.Audio,Audio,Audio
Menu.Option.Language,Language,Lenguaje
Menu.Option.Gamepad,Gamepad,Mando
Menu.Option.Keyboard,Keyboard,Teclado
Menu.Option.Player1,Player 1,Jugador 1
Menu.Option.Player2,Player 2,Jugador 2
Menu.Option.TrainingMode,Training Mode,Modo Entrenamiento
Menu.Option.VolumeMaster,Master Volume,Volumen Maestro
Menu.Option.VolumeMusic,Music Volume,Volumen de Música
Menu.Option.VolumeSFX,SFX Volume,Volumen de Efectos
UI.Round0,FOR THE\n0TH TIME...,POR LA VEZ\nNUMERO 0...
UI.Round1,FOR THE\nFIRST TIME...,POR PRIMERA VEZ...
UI.Round2,FOR THE\nSECOND TIME...,POR SEGUNDA VEZ...
UI.Round3,FOR THE\nTHIRD TIME...,POR TERCERA VEZ...
UI.Round4,FOR THE\nFOURTH TIME...,POR CUARTA VEZ...
UI.Round5,FOR THE\nFIFTH TIME...,POR QUINTA VEZ...
UI.Round6,FOR THE\nSIXTH TIME...,POR SEXTA VEZ...
UI.Round7,FOR THE\nSEVENTH TIME...,POR SÉPTIMA VEZ...
UI.Round8,FOR THE\nEIGTH TIME...,POR OCTAVA VEZ...
UI.Round9,FOR THE\nNINTH TIME...,POR NOVENA VEZ...
UI.Round10,FOR THE\nTENTH TIME...,POR DÉCIMA VEZ...
UI.RoundMore,FOR THE\n[ROUND] TIME...,POR LA VEZ\nNUMERO [ROUND]...
Menu.Option.Resume,Resume,Resumir
Menu.Option.Movelist,Move List,Lista de Técnicas
Menu.Option.Rematch,Rematch,Revancha
Menu.Option.RoundStart,COMMIT\nA VIOLENCE!,¡COMETE\nUNA VIOLENCIA!
Common.Pause,Pause,Pausa
UI.PlayerNumWins,PLAYER [NUM]\nWINS!,¡JUGADOR [NUM]\nGANA!
UI.HitNum,[NUM] HITS!,¡[NUM] GOLPES!
UI.DamageNum,[NUM] DMG!,¡[NUM] DAÑO!
UI.GamesWon,GAMES WON,JUEGOS GANADOS
UI.Draw,DRAW,EMPATE
UI.DoubleKO,AND THEN\nEVERYBODY DIEAD,TODOS\nMURIERON
UI.Time,TIME,TIEMPO
UI.Dead,DED,MURICIÓ
Menu.Match.Ready,READY,LISTO
Menu.Match.Rounds,ROUNDS,RONDAS
Menu.Match.Time,TIME,TIEMPO
Menu.Match.Difficulty,CPU DIFFICULTY,DIFICULTAD DE CPU
Menu.Match.BestOf,BEST OF [NUM],MEJOR DE [NUM]
Menu.Match.Infinite,INFINITE,INFINITO
Common.Difficulty.Easy,Easy,Fácil
Common.Difficulty.VeryEasy,Very Easy,Muy Fácil
Common.Difficulty.Normal,Normal,Normal
Common.Difficulty.Hard,Hard,Difícil
Common.Difficulty.VeryHard,Very Hard,Muy Difícil
